bladnr,xmin,ymin,xmax,ymax
801,110050,487000,111000,487750
802,111000,487000,111950,487750
803,111950,487000,112900,487750
804,112900,487000,113850,487750
805,113850,487000,114800,487750
806,114800,487000,115750,487750
807,115750,487000,116700,487750
808,116700,487000,117650,487750
809,110050,486250,111000,487000
810,111000,486250,111950,487000
811,111950,486250,112900,487000
812,112900,486250,113850,487000
813,113850,486250,114800,487000
814,114800,486250,115750,487000
815,115750,486250,116700,487000
816,116700,486250,117650,487000
817,110050,485500,111000,486250
818,111000,485500,111950,486250
819,111950,485500,112900,486250
820,112900,485500,113850,486250
821,113850,485500,114800,486250
822,114800,485500,115750,486250
823,115750,485500,116700,486250
824,116700,485500,117650,486250
825,110050,484750,111000,485500
826,111000,484750,111950,485500
827,111950,484750,112900,485500
828,112900,484750,113850,485500
829,113850,484750,114800,485500
830,114800,484750,115750,485500
831,115750,484750,116700,485500
832,116700,484750,117650,485500
833,110050,484000,111000,484750
834,111000,484000,111950,484750
835,111950,484000,112900,484750
836,112900,484000,113850,484750
837,113850,484000,114800,484750
838,114800,484000,115750,484750
839,115750,484000,116700,484750
840,116700,484000,117650,484750
841,110050,483250,111000,484000
842,111000,483250,111950,484000
843,111950,483250,112900,484000
844,112900,483250,113850,484000
845,113850,483250,114800,484000
846,114800,483250,115750,484000
847,115750,483250,116700,484000
848,116700,483250,117650,484000
849,110050,482500,111000,483250
850,111000,482500,111950,483250
851,111950,482500,112900,483250
852,112900,482500,113850,483250
853,113850,482500,114800,483250
854,114800,482500,115750,483250
855,115750,482500,116700,483250
856,116700,482500,117650,483250
857,110050,481750,111000,482500
858,111000,481750,111950,482500
859,111950,481750,112900,482500
860,112900,481750,113850,482500
861,113850,481750,114800,482500
862,114800,481750,115750,482500
863,115750,481750,116700,482500
864,116700,481750,117650,482500
901,110050,493000,111000,493750
902,111000,493000,111950,493750
903,111950,493000,112900,493750
904,112900,493000,113850,493750
905,113850,493000,114800,493750
906,114800,493000,115750,493750
907,115750,493000,116700,493750
908,116700,493000,117650,493750
909,110050,492250,111000,493000
910,111000,492250,111950,493000
911,111950,492250,112900,493000
912,112900,492250,113850,493000
913,113850,492250,114800,493000
914,114800,492250,115750,493000
915,115750,492250,116700,493000
916,116700,492250,117650,493000
917,110050,491500,111000,492250
918,111000,491500,111950,492250
919,111950,491500,112900,492250
920,112900,491500,113850,492250
921,113850,491500,114800,492250
922,114800,491500,115750,492250
923,115750,491500,116700,492250
924,116700,491500,117650,492250
925,110050,490750,111000,491500
926,111000,490750,111950,491500
927,111950,490750,112900,491500
928,112900,490750,113850,491500
929,113850,490750,114800,491500
930,114800,490750,115750,491500
931,115750,490750,116700,491500
932,116700,490750,117650,491500
933,110050,490000,111000,490750
934,111000,490000,111950,490750
935,111950,490000,112900,490750
936,112900,490000,113850,490750
937,113850,490000,114800,490750
938,114800,490000,115750,490750
939,115750,490000,116700,490750
940,116700,490000,117650,490750
941,110050,489250,111000,490000
942,111000,489250,111950,490000
943,111950,489250,112900,490000
944,112900,489250,113850,490000
945,113850,489250,114800,490000
946,114800,489250,115750,490000
947,115750,489250,116700,490000
948,116700,489250,117650,490000
949,110050,488500,111000,489250
950,111000,488500,111950,489250
951,111950,488500,112900,489250
952,112900,488500,113850,489250
953,113850,488500,114800,489250
954,114800,488500,115750,489250
955,115750,488500,116700,489250
956,116700,488500,117650,489250
957,110050,487750,111000,488500
958,111000,487750,111950,488500
959,111950,487750,112900,488500
960,112900,487750,113850,488500
961,113850,487750,114800,488500
962,114800,487750,115750,488500
963,115750,487750,116700,488500
964,116700,487750,117650,488500
